38.597037	 39	 0
45.725024	 19	 0
50.310446	 8	 0
50.743961	 15	 0
52.021818	 34	 0
52.335930	 14	 0
59.587708	 38	 0
66.466370	 29	 0
67.145823	 28	 0
70.033713	 3	 0
71.731372	 1	 0
84.322958	 20	 0
88.208470	 22	 0
89.561541	 31	 0
92.013169	 11	 0
98.252177	 0	 0
105.439422	 21	 0
105.642519	 26	 0
116.359157	 6	 0
121.246125	 32	 0
122.438727	 2	 0
126.642450	 16	 0
133.412696	 23	 0
135.769795	 36	 0
139.123074	 7	 0
139.219113	 10	 0
143.000845	 12	 0
143.940979	 27	 0
154.202904	 24	 0
154.471222	 18	 0
158.082653	 35	 0
164.689749	 30	 0
170.271143	 17	 0
170.532490	 13	 0
173.444717	 37	 0
186.783899	 33	 0
196.590794	 9	 0
201.922691	 4	 0
217.330584	 25	 0
229.219240	 5	 0
17.199636	 26	 1
30.572222	 37	 1
34.413445	 25	 1
39.117389	 31	 1
39.663909	 7	 1
46.682513	 36	 1
57.450089	 13	 1
61.921256	 8	 1
86.042253	 14	 1
92.119784	 22	 1
93.266088	 15	 1
95.530545	 11	 1
96.072749	 10	 1
97.697402	 34	 1
107.751543	 19	 1
114.374638	 29	 1
114.610514	 12	 1
114.611548	 9	 1
115.732315	 18	 1
117.092330	 27	 1
117.124867	 30	 1
117.689244	 4	 1
122.014938	 2	 1
128.126814	 16	 1
131.893810	 6	 1
132.181348	 3	 1
133.005207	 28	 1
137.620772	 24	 1
147.015397	 21	 1
152.103521	 23	 1
154.503885	 32	 1
155.241835	 1	 1
165.797039	 17	 1
166.838036	 38	 1
170.349222	 0	 1
171.683044	 33	 1
172.247168	 39	 1
173.785007	 20	 1
184.628540	 35	 1
201.433348	 5	 1
26.816438	 10	 2
30.195517	 32	 2
30.636740	 26	 2
32.687943	 12	 2
35.375606	 3	 2
41.891067	 7	 2
46.652012	 35	 2
53.042838	 9	 2
63.925516	 15	 2
69.910212	 11	 2
69.984920	 18	 2
71.236130	 30	 2
77.179080	 31	 2
84.018039	 19	 2
85.379895	 5	 2
86.075818	 20	 2
87.891162	 34	 2
91.397097	 14	 2
92.745344	 37	 2
93.256700	 27	 2
93.840466	 8	 2
95.309819	 39	 2
111.318827	 25	 2
118.878750	 17	 2
121.417571	 22	 2
123.427501	 6	 2
124.185606	 13	 2
129.524252	 2	 2
140.835523	 23	 2
148.808334	 1	 2
151.415527	 28	 2
157.846508	 4	 2
162.158747	 0	 2
162.190686	 33	 2
166.470714	 16	 2
171.286926	 29	 2
176.716128	 36	 2
185.110001	 24	 2
193.377953	 38	 2
198.112146	 21	 2
25.049243	 37	 3
27.979974	 29	 3
29.060239	 36	 3
29.565711	 1	 3
37.701792	 22	 3
40.656700	 14	 3
42.324462	 21	 3
47.824878	 26	 3
48.002821	 24	 3
50.488106	 5	 3
51.403819	 33	 3
57.836806	 11	 3
74.320820	 13	 3
83.743509	 31	 3
86.006927	 8	 3
89.404980	 17	 3
